1,विश्वम्,viśvam,Who is the universe himself
2,विष्णुः,viṣṇuḥ,He who pervades everywhere
3,वषट्कारः,vaṣaṭkāraḥ,He who is invoked for oblations
4,भूतभव्यभवत्प्रभुः,bhūtabhavyabhavatprabhuḥ,"The Lord of past, present and future"
5,भूतकृत्,bhūtakṛt,The creator of all creatures
6,भूतभृत्,bhūtabhṛt,He who nourishes all creatures
7,भावः,bhāvaḥ,He who becomes all moving and nonmoving things
8,भूतात्मा,bhūtātmā,He who is atma or soul of all beings
9,भूतभावनः,bhūtabhāvanaḥ,The cause of the growth and birth of all creatures
10,पूतात्मा,pūtātmā,He with an extremely pure essence
11,परमात्मा,paramātmā,The Supreme-Self
12,मुक्तानां परमा गतिः,muktānāṃ paramā gatiḥ,"The final goal, reached by liberated souls"
13,अव्ययः,avyayaḥ,without destruction
14,पुरुषः,puruṣaḥ,The Universal Spirit
15,साक्षी,sākṣī,The witness
16,क्षेत्रज्ञः,kṣetrajñaḥ,The knower of the field
17,अक्षरः,akṣaraḥ,Indestructible
18,योगः,yogaḥ,He who is realized through yoga
19,योगविदां नेता,yogavidāṃ netā,The guide of those who know yoga
20,प्रधानपुरुषेश्वरः,pradhānapuruṣeśvaraḥ,Lord of pradhaana and purusha
21,नारसिंहवपुः,nārasiṃhavapuḥ,He whose form is man-lion
22,श्रीमान्,śrīmān,He who is always with shree
23,केशवः,keśavaḥ,"keshavah: He who has beautiful locks of hair, slayer of Keshi and one who is himself the three"
24,पुरुषोत्तमः,puruṣottamaḥ,The best among all Purushas
25,सर्वः,sarvaḥ,He who is everything
26,शर्वः,śarvaḥ,The auspicious
27,शिवः,śivaḥ,He who is eternally pure
28,स्थाणुः,sthāṇuḥ,"The pillar, the immovable truth"
29,भूतादिः,bhūtādiḥ,The cause of the five great elements
30,निधिरव्ययः,nidhiravyayaḥ,The imperishable treasure
31,सम्भवः,sambhavaḥ,He who descends of His own free will
32,भावनः,bhāvanaḥ,He who gives everything to his devotees
33,भर्ता,bhartā,He who nourishes the entire living world
34,प्रभवः,prabhavaḥ,The womb of the five great elements
35,प्रभुः,prabhuḥ,The Almighty Lord
36,ईश्वरः,īśvaraḥ,The Ruler of Universe
37,स्वयम्भूः,svayambhūḥ,He who manifests from Himself
38,शम्भुः,śambhuḥ,He who brings auspiciousness
39,आदित्यः,ādityaḥ,The son of Aditi (Vaamana)
40,पुष्कराक्षः,puṣkarākṣaḥ,He who has eyes like the lotus
41,महास्वनः,mahāsvanaḥ,He who has a thundering voice
42,अनादि-निधनः,anādi-nidhanaḥ,He without origin or end
43,धाता,dhātā,He who supports all fields of experience
44,विधाता,vidhātā,The dispenser of fruits of action
45,धातुरुत्तमः,dhāturuttamaḥ,The subtlest atom
46,अप्रमेयः,aprameyaḥ,He who cannot be perceived
47,हृषीकेशः,hṛṣīkeśaḥ,The Lord of the senses
48,पद्मनाभः,padmanābhaḥ,He from whose navel comes the lotus
49,अमरप्रभुः,amaraprabhuḥ,The Lord of the devas
50,विश्वकर्मा,viśvakarmā,The creator of the universe
51,मनुः,manuḥ,He who has manifested as the Vedic mantras
52,त्वष्टा,tvaṣṭā,He who makes huge things small
53,स्थविष्ठः,sthaviṣṭhaḥ,The supremely gross
54,स्थविरो ध्रुवः,sthaviro dhruvaḥ,"The ancient, motionless one"
55,अग्राह्यः,agrāhyaḥ,He who is not perceived by senses
56,शाश्वतः,śāśvataḥ,He who always remains the same
57,कृष्णः,kṛṣṇaḥ,He whose complexion is dark
